videoId,publishedTime,durationSec,viewCount,likeCount,dislikeCount,commentCount
uWBD5ie68do,31-01-2020 13:15,191,7598335,52583,7853,1558
jBw_Eta0HDM,31-01-2020 06:34,175,24458305,673201,52786,38982
uKfghod8uOI,30-01-2020 11:36,139,2103639,57121,2205,1946
TTFSTXN42uE,01-02-2020 08:29,31,257690,5700,321,264
STRdrqGWsYU,30-01-2020 06:30,55,3647796,37152,1451,2023
tx0pM_ILHLI,29-01-2020 10:30,291,5886787,85773,3312,1617
Ve2a1zWbf88,29-01-2020 11:30,105,523612,10290,801,878
vhErOKIjzQg,29-01-2020 06:00,146,35318248,390537,34137,13525
zxY-Gn2xW-Q,30-01-2020 10:41,31,631651,16883,452,646
fz_yMN4nSPY,28-01-2020 11:01,96,3688490,96387,2903,2032
G2YkCf5OKh4,06-02-2020 13:30,201,323369,6500,817,557
YD0kXCBIvm0,07-02-2020 04:30,187,93449,1069,193,176
iTc2pgUzs48,28-01-2020 08:03,177,20434774,257822,9297,4766
YbFA6hhD6W0,27-01-2020 11:32,175,15992649,310491,26492,10467
44-47qIMRUc,27-01-2020 11:06,31,979769,22424,626,650
prwY2wiraOI,25-01-2020 15:51,26,2546639,57875,2915,1872
dNm_14FA4lI,25-01-2020 15:13,142,292306,7481,434,262
QDurIsjPn4I,24-01-2020 14:16,122,1110205,17271,858,519
ummGYA6gWME,25-01-2020 06:20,128,13397697,418563,15444,11024
M7feTXGPmV0,24-01-2020 11:31,86,334243,7220,299,237
FTGrwuEUdg4,23-01-2020 14:34,119,1103599,21190,856,589
vRud4CmNt3Y,27-01-2020 05:31,132,26422685,222736,14201,8162
7B0wQahfNBc,25-01-2020 08:30,16,365097,8065,569,475
Odud9FxdL6g,24-01-2020 10:31,21,280406,6469,289,215
eZ747IaP1Nk,23-01-2020 14:45,31,640933,16681,842,729
yevOB_7AiA4,24-01-2020 07:21,341,1621763,12218,718,378
zrfn9yEJBqw,24-01-2020 09:30,252,768557,6370,459,306
d4EWhSD11Dg,06-02-2020 12:49,288,546160,4641,289,245
Msv8D6HZJ7U,25-01-2020 07:15,305,5982304,38941,1824,992
G09QiTx-6yo,23-01-2020 12:30,184,250690,5213,557,513
